AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel
3,0,3,5,9,3,1,,2,110106,70000,1981,,2,110106,3,3,2,3,1,1,1,3,8
3,1,5,5,9,1,1,,2,110107,60000,1978,,2,110107,3,4,2,3,1,,1,2,9
3,3,3,4,9,1,1,,2,110106,150000,1982,,2,110106,2,2,2,3,2,2,2,2,8
1,0,2,4,9,2,1,,2,110106,60000,1983,,2,110106,3,3,2,1,1,1,1,1,8
3,0,3,4,9,1,1,1,2,110106,200000,1973,,2,110106,2,3,2,3,2,1,2,3,8
2,0,1,5,9,1,1,,2,110106,10000,1971,,2,110106,,,2,3,1,1,1,1,7
2,0,3,3,9,3,1,1,2,110106,80000,1961,,1,110106,8,2,2,3,2,2,3,4,4
1,0,3,3,9,1,1,,2,110106,100000,1975,,2,110106,3,3,2,3,2,1,1,1,8
3,2,5,5,9,,,,2,110106,,2001,,1,110106,,,2,3,1,1,1,1,4
1,0,2,3,9,2,1,,2,110106,30000,1979,,2,110106,,,2,3,2,1,1,1,9
1,0,3,2,9,,,,2,110106,,1955,,2,110106,1,1,2,3,1,1,1,1,3
2,0,5,5,9,4,1,2,2,110108,36000,1974,,2,110106,2,3,2,1,1,1,1,3,9
3,0,3,3,9,2,1,1,2,110106,200000,1974,,2,110106,,3,2,3,2,1,2,2,9
3,0,3,4,9,1,1,,2,110106,80000,1978,,2,110106,,,2,3,1,1,2,2,9
3,0,4,5,9,,,,2,110111,,1958,,2,110106,2,1,2,3,1,1,1,1,3
1,0,4,5,9,,,,2,110106,,1955,,2,110106,2,1,2,3,1,1,1,1,3
2,0,3,4,9,1,1,,2,110106,60000,1979,,2,110106,3,3,2,3,2,1,1,1,8
1,0,4,5,9,2,1,,2,110102,22000,1980,,2,110102,3,3,2,3,2,2,2,2,6
3,0,3,4,9,1,1,,2,110106,40000,1973,,2,110106,3,3,2,3,2,2,1,1,3
2,0,3,4,9,2,1,,2,110108,60000,1972,,2,110106,3,,2,3,1,1,1,1,4
3,0,3,3,9,1,1,,2,110106,10000,1998,,1,110106,,,2,3,1,2,1,3,9
4,0,4,5,9,4,1,,2,110106,100000,1972,,2,110106,,,2,3,1,1,1,1,3
2,0,3,4,9,2,1,,2,131100,50000,1972,,2,110106,2,2,2,3,2,1,1,1,9
1,0,3,4,9,3,2,,2,110106,50000,1981,,2,110106,2,3,2,3,2,1,1,1,5
3,10,5,5,9,2,1,2,2,110106,75000,1986,5,1,110106,2,2,2,3,1,1,1,1,9
3,0,3,5,9,1,1,,2,110106,60000,1984,5,1,110106,2,3,2,3,1,1,1,1,4
1,0,1,4,9,,,,2,110106,,1954,10,2,110106,2,2,2,3,2,1,1,1,3
1,0,2,4,9,,,,2,110106,,1954,2,2,110106,4,4,2,3,1,1,1,1,3
2,0,4,5,9,,,,2,130681,,1982,2,2,110106,,3,2,3,1,1,1,1,8
3,0,4,5,9,3,1,,2,110106,60000,1977,11,2,110106,3,,2,3,1,1,1,1,8
1,0,1,2,9,,,,2,110106,,1977,11,2,110106,2,2,2,3,1,1,1,1,2
3,0,,,9,,,,2,110106,,1974,,2,110106,,,2,3,1,1,2,2,3
3,0,,,9,,,,2,110102,,1958,,2,110106,1,1,2,3,1,1,2,2,5
3,0,,,9,,,,2,110106,,1962,5,2,110105,,,2,3,,,2,2,4
2,0,,,9,1,1,,2,110106,50000,1963,10,2,110106,3,2,2,1,,,2,2,8
2,0,,,9,,,,2,110106,,1956,10,3,110106,3,1,2,1,,,2,2,8
3,0,,,9,2,1,,2,110106,180000,1972,6,2,110106,8,,2,1,,,2,4,9
2,0,,,9,,,,2,210000,,1954,2,2,110106,,1,2,1,,,2,2,5
2,0,,,9,2,1,,2,420582,36000,1980,7,2,110106,2,2,2,1,1,1,1,2,8
3,0,,,9,4,1,,2,110106,48000,1979,11,1,110106,,,2,1,2,2,3,4,9
3,0,,,9,1,1,,2,110106,50000,1983,6,1,110106,,,2,1,2,2,2,2,9
3,0,,,9,2,1,2,2,110102,50000,1987,8,2,110102,7,7,2,3,2,2,2,2,9
2,0,,,2,,,,2,230100,,1959,4,2,110106,4,1,2,3,,,2,2,4
1,0,,,9,1,1,,2,110101,50000,1978,10,2,110106,8,8,2,1,2,2,2,2,9
2,0,,,9,1,1,,1,110106,36000,1972,11,2,110106,8,9,2,3,2,2,2,2,9
3,0,,,9,,,,2,110108,,1966,2,1,110108,1,1,2,3,2,2,3,4,3
2,0,,,9,,,,2,110108,,1957,7,2,110108,4,1,2,1,2,2,2,4,4
2,0,,,9,,,,2,110101,,1963,9,2,110108,2,1,2,3,2,2,3,4,4
3,0,,,6,,,,2,110108,,1956,1,2,110108,1,1,2,3,1,2,3,4,3
1,0,,,9,,,,2,120114,,1957,1,2,110108,2,1,2,3,2,2,2,4,4
3,0,,,9,1,1,2,2,110108,50000,1987,4,1,110108,,,2,3,2,2,3,4,9
1,0,,,9,,,,2,130627,,1956,10,2,110108,2,1,2,3,1,1,3,4,3
4,5,,,9,,,,2,361002,,1995,5,1,110108,4,4,2,1,1,1,2,2,10
3,5,,,9,1,1,,2,360681,0,1995,4,1,110108,9,9,2,1,2,2,2,2,10
3,0,,,9,1,1,1,2,140202,140000,1972,4,2,110108,8,,2,3,,,3,4,9
4,0,,,9,1,1,,2,230803,108000,1991,7,1,110108,,,2,3,2,2,2,4,9
2,0,,,9,,,,2,110108,,1964,2,4,110108,2,,2,3,,,2,4,8
2,0,,,9,2,1,,2,411723,40000,1992,4,1,411723,,,2,3,1,1,1,1,9
3,0,,,9,1,1,,2,231002,120000,1989,1,6,110108,4,7,2,3,2,2,2,2,9
2,0,,,9,,,,2,110101,,1957,1,2,110108,4,3,2,3,2,2,3,4,3
3,0,,,9,1,1,,2,210104,250000,1992,9,1,120106,7,8,2,3,2,2,2,4,9
2,0,,,9,,,,2,110108,,1955,4,2,110108,,,2,3,2,2,2,2,3
3,0,,,9,,,,2,110114,,1956,10,2,110108,,,2,3,1,1,2,2,3
3,0,,,9,1,1,2,2,210102,120000,1990,4,1,110108,,,2,3,2,2,2,2,9
3,0,,,9,2,1,,2,110108,60000,1978,12,3,110108,,,2,3,2,2,3,4,8
2,0,,,9,1,1,2,2,131003,80000,1992,3,1,110108,9,8,2,3,2,2,2,2,9
3,2,,,9,1,1,,2,110108,120000,1992,5,1,110108,,,2,3,2,2,2,2,9
3,0,,,9,1,1,1,2,230602,120000,1994,1,6,110108,3,2,2,3,1,1,2,2,9
3,0,,,9,1,1,1,2,371724,50000,1978,9,2,110108,2,1,2,3,2,1,1,3,7
1,0,,,9,1,1,,2,110108,42000,1981,4,2,110108,2,3,2,3,2,1,2,2,7
2,1,,,9,1,1,,2,110102,70000,1974,9,2,110102,3,,2,1,2,2,2,2,7
2,0,,,9,,,,2,110108,,1970,1,2,110108,2,2,2,3,,,3,4,9
3,0,,,9,1,1,,2,110106,60000,1996,9,1,110106,4,3,2,3,1,2,2,2,8
2,0,,,9,4,2,,2,110108,20000,1965,12,2,110108,1,2,2,3,2,2,2,4,3
1,0,,,9,1,1,1,2,110108,0,1970,6,2,110108,4,1,2,3,1,1,1,3,8
3,0,,,9,,,,2,110108,,1979,1,2,110108,,1,2,3,2,1,1,3,8
2,0,,,9,2,1,,2,110108,100000,1975,11,2,110108,4,2,2,3,2,2,2,4,7
2,0,,,9,2,1,,2,110108,0,1973,1,2,110108,3,1,2,3,1,1,2,4,4
2,0,,,9,4,3,,2,410326,50000,1963,11,2,410326,2,2,2,3,1,1,1,1,3
2,0,,,9,1,1,,2,110108,50000,1970,5,4,110108,8,4,2,1,2,1,1,3,7
3,1,,,9,,,,2,110108,,2001,5,1,110108,7,,2,3,2,1,2,2,4
1,0,,,4,2,1,,2,110108,200000,1970,8,2,110108,2,2,2,3,1,1,1,3,7
2,0,,,9,,,,2,110108,,1964,4,2,110108,2,2,2,3,1,1,1,3,4
2,0,,,9,3,1,,2,130902,30000,1974,5,2,110108,2,2,2,3,,,1,3,4
2,0,,,9,,,,2,110108,,1965,4,2,110108,2,2,2,3,,1,1,3,4
2,0,,,9,1,1,2,2,130227,60000,1979,5,2,130227,8,8,2,3,,,2,2,8
2,0,,,9,3,1,,2,110108,50000,1984,8,1,110108,3,4,2,3,1,1,1,2,7
2,0,,,9,1,1,2,2,150721,50000,1981,6,2,110108,,,2,3,2,1,2,2,9
2,0,,,9,1,1,2,2,110108,40000,1967,6,2,110108,2,2,2,3,1,1,1,3,7
2,0,,,9,4,4,,2,110108,0,1958,4,5,110108,2,1,2,3,1,1,1,3,2
3,0,,,9,1,1,1,2,110108,30000,1981,6,2,110108,9,4,2,1,2,2,2,4,9
1,0,,,9,2,2,,2,110108,35000,1960,1,2,110108,2,3,2,1,,,3,4,4
3,0,,,9,1,1,2,2,110108,34000,1970,5,2,110108,4,1,2,3,1,1,1,3,3
1,0,,,9,,,,2,110108,,2001,6,1,110108,,,2,3,2,2,1,3,7
3,0,,,9,,,,2,110108,,1956,12,2,110108,2,1,2,1,,,3,4,3
2,0,,,9,,,,2,110108,,1962,9,2,110108,1,1,2,3,,,1,3,4
2,0,2,4,9,4,2,,2,110115,12000,1971,9,2,110115,1,1,2,3,,,1,1,3
2,0,4,5,9,2,1,,2,130637,24000,1970,,2,110115,1,2,2,1,,,1,1,8
2,0,2,4,9,,,,2,110115,,1958,7,2,110115,,,2,3,,,1,1,4
2,0,4,4,9,4,3,,2,110115,12000,1959,5,2,110115,1,1,2,3,,,1,1,4
2,0,4,4,9,,,,2,110115,,1959,9,2,110115,1,1,2,3,,,1,1,4
1,0,4,4,9,,,,2,131022,,1982,1,3,110115,1,2,2,3,,,1,1,3
2,0,4,4,9,,,,2,110115,,1958,9,3,110115,1,1,2,3,,,1,1,3
2,0,4,3,9,,,,2,110115,,1966,7,2,110115,2,1,2,3,1,1,1,1,3
3,0,1,4,9,,,,2,110115,,1963,4,2,110115,2,2,2,3,1,1,1,1,3
3,0,2,4,9,4,4,,2,210100,30000,1962,10,2,110115,1,,2,3,,,1,1,2
2,0,2,4,9,4,2,,2,110115,8000,1968,10,2,110115,2,,2,3,1,,1,1,2
2,0,2,4,9,4,1,2,2,110115,35000,1982,12,2,110115,3,3,2,3,1,1,1,1,4
2,0,2,2,9,3,3,,2,110115,45000,1969,2,2,110115,3,4,1,3,,,1,1,3
2,0,5,4,9,,,,2,110115,,1972,10,2,110115,3,1,2,3,,,1,3,4
2,0,4,4,9,,,,2,110115,,1969,6,2,110115,1,1,2,3,,,1,1,3
2,0,4,4,9,3,1,,2,110115,60000,1970,3,2,110115,,1,2,3,,,1,1,3
4,0,4,4,9,,,,2,110115,,1997,1,1,110115,,,2,3,1,1,1,1,8
3,0,3,3,9,,,,2,110115,,1964,11,3,110115,1,1,2,3,1,1,1,1,2
3,0,4,5,9,4,2,,2,110115,20000,1969,3,2,110115,2,2,2,3,,,1,1,3
2,0,4,4,9,,,,2,130324,,1954,7,2,110115,3,1,2,3,,,1,1,3
3,0,4,4,9,,,,2,110115,,1956,9,2,110115,1,1,2,3,,,1,1,3
2,0,4,4,9,,,,2,110115,,1963,9,2,110115,1,1,2,3,,,1,1,2
2,0,4,4,9,,,,2,110115,,1960,6,2,110115,1,1,2,3,1,1,1,1,4
3,0,2,4,9,4,1,,2,130635,70000,1962,11,2,110115,2,2,2,3,,,1,1,3
3,0,3,3,9,,,,2,,,1975,8,2,,1,1,2,3,1,1,1,1,3
2,0,2,4,9,,,,2,110115,,1958,7,2,110115,1,1,2,3,,,1,1,4
3,0,2,4,9,,,,2,110101,,1969,8,2,110115,2,2,2,3,,,1,1,3
1,0,2,5,9,,,,2,510100,,1971,10,2,110115,,4,2,3,1,1,1,1,3
1,0,4,3,9,4,4,,2,110115,80000,1947,6,5,110115,2,2,2,3,1,1,1,1,3
2,0,4,4,9,,,,2,110115,,1968,1,2,110115,1,1,2,3,,,1,1,3
3,0,4,4,9,,,,2,110115,,2001,1,1,110115,,,2,3,1,1,1,1,4
3,0,2,2,9,4,4,2,2,110115,100000,1967,5,2,110115,2,1,2,3,1,1,1,1,3
1,0,3,3,9,,,,2,110115,,1961,4,2,110115,2,1,2,3,1,1,1,1,3
3,0,4,5,9,,,,2,110115,,2002,8,1,110115,,,2,3,1,1,1,1,4
3,0,4,4,9,,,,2,130432,,1985,1,2,110115,4,2,2,3,1,1,1,1,3
2,0,4,4,9,3,2,,2,110115,30000,1980,6,2,110115,6,3,2,3,,,1,1,3
2,0,4,4,9,,,,2,110115,,1980,1,2,110115,1,1,2,3,,,1,1,3
2,0,3,4,9,3,1,,2,110115,20000,1969,5,2,110115,2,1,2,3,,,1,1,3
3,0,2,2,9,,,,2,110115,,1958,3,2,110115,,,2,3,1,1,1,1,3
3,0,3,3,9,4,3,,2,110115,30000,1970,12,5,110115,1,1,2,3,1,1,1,1,2
3,0,2,3,9,,,,2,130100,,1963,8,2,110115,1,1,2,3,1,1,1,1,3
3,0,5,4,9,,,,2,110115,,1957,12,2,110115,1,1,2,3,1,1,1,1,3
3,0,3,4,9,4,2,,2,110115,30000,1960,2,2,110115,,1,2,3,,,1,1,3
3,0,4,4,9,2,1,,2,110115,50000,1980,10,2,110115,3,1,1,3,1,1,1,1,3
1,0,,,9,,,,2,120101,,1954,,5,120101,2,1,2,3,1,1,1,1,3
2,0,,,9,,,,2,120101,,1963,,2,120101,,1,2,3,1,1,1,1,3
1,0,,,9,,,,2,120101,,1963,,2,120101,3,2,2,3,1,1,1,1,4
3,0,,,9,,,,2,120103,,1957,,2,120101,2,2,2,3,1,1,2,2,3
3,0,,,9,1,1,1,2,120101,48000,1990,,1,120101,3,,2,3,2,2,2,2,9
2,0,,,9,,,,2,120101,,1963,8,2,120101,3,3,2,3,1,1,2,2,4
3,0,,,9,2,1,2,2,120101,48000,1982,,1,120101,,,2,3,2,2,2,2,8
2,0,,,9,,,,2,120101,,1956,,2,120101,2,1,2,3,1,1,2,2,2
2,0,,,9,,,,2,120101,,1962,,1,120101,1,,2,3,1,1,2,2,3
3,0,,,9,,,,2,120101,,1962,,2,120101,,,2,3,2,2,2,2,3
2,0,,,9,,,,2,120101,,1957,,4,120101,2,1,2,3,1,1,2,2,3
2,0,,,9,,,,2,120101,,1957,,2,120101,2,2,2,3,1,1,2,2,6
1,0,,,9,2,1,2,2,120101,30000,1981,,2,120101,,,2,3,1,1,2,2,7
